ENTIDAD_RES,MUNICIPIO_RES,codigo_Postal,coordenada_lateral,coordenada_longitudinal,altitud
12,65,41350,20.004444,-103.15,2073
12,66,41300,20.055773,-103.146831,1927
12,67,40600,20.581332,-104.753006,1540
12,68,40800,20.595953,-104.697576,2268
12,69,41380,20.554444,-104.841111,1219
12,70,41240,20.560035,-104.838751,1220
12,71,41772,20.507432,-105.101092,1215
12,72,41403,20.795706,-104.637872,1175
12,73,40760,20.525556,-104.782222,1237
12,74,41160,20.300278,-104.696111,1520
12,75,40194,19.938998,-103.019446,2138
12,76,41438,19.917222,-103.020278,2234
12,77,41935,20.548611,-104.043056,1239
12,78,41663,20.498369,-103.952748,1274
12,79,41127,21.364777,-102.723037,1848
12,80,41928,21.245696,-102.799117,1749
13,1,43542,21.219759,-102.770946,1709
13,2,43725,21.263056,-102.777778,1747
13,3,42524,22.151462,-104.302274,1280
13,4,43468,22.1351,-104.28025,1087
13,5,42157,22.355718,-103.666816,1919
13,6,42393,21.909167,-104.173889,1834
13,7,43950,22.061781,-104.325647,1648
13,8,43909,22.254013,-104.207691,1907
13,9,42695,22.058056,-103.931667,2447
13,10,42970,22.179444,-104.123056,1386
13,11,43063,22.035256,-104.363662,1520
13,12,43307,22.39,-103.728123,1348
13,13,42988,22.217422,-104.063525,2180
13,14,43240,22.189174,-104.242551,1940
13,15,42373,22.072833,-104.304896,1203
13,16,43750,20.440556,-104.408889,1539
13,17,42904,20.452496,-102.676576,1550
13,18,42282,20.351389,-102.768056,1530
13,19,42757,21.864167,-101.593333,2221
13,20,43344,21.765876,-101.652116,2270
13,21,43961,19.020519,-103.404176,327
13,22,43596,19.326273,-103.384839,755
13,23,42671,19.220323,-103.459564,675
13,24,43525,19.074154,-103.385252,370
13,25,43052,19.252439,-103.375038,712
13,26,43073,20.385028,-102.94937,1533
13,27,43425,20.381389,-102.924167,1524
13,28,43002,20.613611,-105.227222,101
13,29,42410,19.79893,-104.720729,527
13,30,42320,19.719167,-104.605,446
13,31,42215,19.888888,-102.832376,1620
13,32,43047,19.901839,-102.776124,1623
13,33,43197,19.927651,-102.872153,1642
13,34,43147,20.551286,-103.186069,1552
13,35,43410,20.576389,-103.321111,1523
13,36,43384,20.505556,-103.235,1529
13,37,43357,21.086662,-103.56617,1779
13,38,42124,21.044444,-103.429167,820
13,39,42133,20.891094,-102.054379,1783
13,40,42265,20.993056,-101.993611,1940
13,41,42724,21.288159,-102.257884,1851
13,42,43114,21.166389,-102.325278,1795
13,43,42364,21.268889,-102.337778,1830
13,44,42490,21.21942,-102.304226,1729
13,45,43565,21.247778,-102.332778,1743
13,46,43029,21.009722,-102.180833,2066
13,47,42251,21.684804,-103.807204,820
13,48,42083,20.435,-103.928611,1305
13,49,42230,20.908256,-102.362245,2109
13,50,42733,20.942181,-102.542337,1957
13,51,42185,20.705556,-102.340278,2058
13,52,42163,20.65398,-102.28531,2087
13,53,43440,20.714413,-102.441959,2005
13,54,42646,20.723905,-102.450457,2020
13,55,42630,20.877778,-102.379167,2068
13,56,43760,20.725285,-102.236997,2186
13,57,43797,20.901465,-104.721847,893
13,58,42380,20.807014,-104.831053,1121
13,59,42443,22.173333,-103.223056,1703
13,60,43488,19.883611,-103.597222,1360
13,61,43997,20.710833,-103.691389,1396
13,62,43135,20.6525,-103.702778,1334
13,63,42852,20.244459,-105.078028,865
13,64,42924,20.387257,-104.836919,1141
13,65,42943,20.487286,-104.879976,1117
13,66,43880,20.181125,-104.817013,597
13,67,42766,20.187283,-104.812814,661
13,68,43274,20.423036,-104.850896,1141
13,69,43803,20.381389,-104.818056,1178
13,70,42780,19.629354,-103.274008,1179
13,71,43184,19.775116,-103.125155,1238
13,72,43937,19.610168,-103.22603,1180
13,73,43165,19.720333,-103.209481,1158
13,74,42964,19.676389,-103.25,1117
13,75,43860,19.925683,-103.74179,2040
13,76,42809,20.032778,-103.6875,2532
13,77,43610,19.945556,-103.754167,2098
13,78,43092,19.491746,-103.32981,1104
13,79,43257,19.404508,-103.154642,1202
13,80,43089,19.320729,-103.263286,1981
13,81,43202,19.469444,-103.306667,1137
13,82,42191,20.199232,-104.023174,1178
13,83,43845,20.203611,-104.045,1220
13,84,42330,20.776111,-103.693889,1400
14,1,45477,21.349499,-102.519131,1670
14,2,45710,21.338737,-102.526608,1680
14,3,46737,21.606861,-102.74788,2261
14,4,49388,21.614167,-102.445278,1764
14,5,45380,21.389441,-102.637184,1729
14,6,46700,21.547015,-102.551773,1833
14,7,46573,21.513056,-102.628611,1903
14,8,47182,21.54,-102.596667,1866
14,9,45359,21.434444,-102.570278,1761
14,10,45799,20.10541,-103.260723,1411
14,11,48165,20.101925,-103.392537,1362
14,12,48146,20.139022,-103.401226,1365
14,13,47769,20.826944,-102.592222,2060
14,14,49228,20.715836,-102.793013,1770
14,15,48920,20.817832,-102.806472,1851
14,16,47940,20.786839,-102.699579,1861
14,17,48065,20.82996,-102.725517,1882
14,18,47914,20.800907,-102.73694,1840
14,19,46157,20.718829,-102.813476,1744
14,20,48400,20.917274,-102.697866,1984
14,21,48948,20.785828,-102.78565,1754
14,22,48995,20.841397,-102.737249,1894
14,23,49088,20.8175,-102.757222,1785
14,24,48520,21.005172,-103.62924,1665
14,25,46239,20.86725,-103.779931,1240
14,26,49170,21.215813,-103.699117,1357
14,27,48954,20.965369,-103.655923,1651
14,28,48155,21.017232,-103.715552,1823
14,29,45494,20.88626,-103.824714,1189
14,30,45922,20.91011,-103.82851,1061
14,31,46300,21.02575,-103.805464,1352
14,32,48655,21.111588,-103.864511,1291
14,33,47990,20.928089,-103.842738,1152
14,34,48680,21.155349,-103.797641,905
14,35,47282,20.911863,-103.78106,860
14,36,46535,20.96265,-103.733043,1485
14,37,48753,20.938107,-103.686813,1483
14,38,46810,21.134747,-103.964169,859
14,39,44720,20.518056,-103.380556,1552
14,40,46448,20.5475,-103.333889,1508
14,41,46281,20.473611,-103.443056,1585
14,42,46029,20.638611,-103.307222,1569
14,43,48865,19.60466,-103.960649,688
14,44,45850,19.543741,-103.89742,684
14,45,45280,19.614322,-103.857008,1047
14,46,47127,19.970903,-99.884978,2545
14,47,47900,19.989113,-99.846926,2786
14,48,47956,20.020429,-100.01162,2697
14,49,49968,19.937252,-99.915338,2537
14,50,45825,19.975325,-99.174163,2183
14,51,45880,20.001098,-99.157271,2248
14,52,48635,19.602295,-98.961566,2233
14,53,47506,19.538523,-99.195198,2253
14,54,48720,19.226429,-100.088762,2022
14,55,46472,19.187108,-100.214909,1651
14,56,49977,19.25866,-100.124051,2191
14,57,49470,19.184621,-100.241163,1510
14,58,46935,19.194395,-100.131607,1820
14,59,49510,19.429531,-100.074561,2580
14,60,47359,19.403862,-100.090464,2495
14,61,46068,19.38852,-100.106948,2491
14,62,46850,19.681603,-99.514161,2826
14,63,47849,19.727588,-99.46308,2599
14,64,47565,18.961119,-99.667919,2177
14,65,49870,18.961709,-99.642,2159
14,66,45965,19.441876,-99.99505,2601
14,67,48315,19.284906,-99.735038,2749
14,68,48820,19.656996,-99.209286,2280
14,69,49585,18.902644,-100.259657,1152
14,70,45690,18.991859,-100.370725,1180
14,71,45255,18.910988,-100.408615,1292
14,72,47595,18.859582,-100.283418,1180
14,73,47116,19.011024,-100.289797,1073
14,74,47170,18.967888,-100.33333,1160
14,76,46380,18.920482,-100.299446,1128
14,77,46783,19.583871,-100.112984,2660
14,78,47146,19.537779,-100.149504,2909
14,79,49130,19.696923,-100.114991,2844
14,80,46975,19.64502,-100.106707,2742
14,81,46245,19.631042,-100.146626,2716
14,82,49330,19.560245,-100.162297,2917
14,83,45345,19.693551,-99.065103,2245
14,84,48202,19.543171,-99.235041,2274
14,85,49677,19.821197,-99.917513,2530
14,86,49344,19.030861,-98.782666,2358
14,87,49943,18.966955,-98.808143,2071
14,88,48542,19.05481,-98.770038,2424
14,89,49236,19.734005,-98.790387,2397
14,90,48570,19.704391,-98.769183,2335
14,91,47244,19.193123,-99.464408,2622
14,92,49290,19.639586,-98.97601,2384
14,93,47624,19.629299,-99.104377,2291
14,94,46402,19.665061,-99.17863,2251
14,95,46760,19.230574,-98.930908,2220
14,96,49404,19.261132,-98.895655,2237
14,97,45659,19.416908,-98.945299,2257
14,98,45509,19.599069,-99.049159,2259
14,99,49765,18.839082,-99.704366,1818
14,100,48486,19.581448,-99.798968,2531
14,101,45402,19.184387,-99.413736,2790
14,102,48766,19.370188,-99.740138,2615
14,103,49840,19.390132,-99.809792,2601
14,104,46180,19.342043,-99.79153,2720
14,105,47730,19.468754,-99.74576,2593
14,106,48777,19.293397,-99.768395,2770
14,107,49439,19.339859,-99.728943,2704
14,108,49810,19.101912,-98.880916,2532
14,109,47580,19.313401,-99.527754,2572
14,110,48000,19.381301,-99.543771,2568
14,111,47384,19.285373,-99.511817,2582
14,112,49542,19.39224,-99.501888,2575
14,113,49735,19.26649,-99.513139,2580
14,114,45730,19.327101,-99.460176,2690
14,115,46114,18.952342,-99.497565,1765
14,116,47267,19.271403,-99.579379,2594
14,117,47370,19.211109,-99.586854,2600
14,118,47336,19.634436,-99.611301,2749
14,119,45788,19.478803,-99.233218,2280
14,120,45010,19.408763,-99.0182,2262
14,121,49604,19.264167,-99.529722,2571
14,122,49779,19.023089,-100.007278,2140
14,123,45992,19.180303,-100.259603,1406
14,124,45443,20.013891,-99.527896,2398
14,125,47190,18.660812,-100.268223,982
15,1,50357,18.696534,-100.369477,777
15,2,55886,18.866189,-99.964195,2327
15,3,50393,18.858546,-99.96643,2312
15,4,51867,19.678303,-98.997619,2264
15,5,50900,19.761513,-98.961684,2266
15,6,52544,18.983517,-100.246595,1201
15,7,51260,18.833426,-100.102267,1206
15,8,51525,18.905696,-100.153403,1328
15,9,56956,19.915911,-100.004081,2390
15,10,55666,19.067931,-100.075406,2190
15,11,56315,19.046662,-100.17732,1703
15,12,52505,19.043075,-100.041359,1719
